984985,-231862
985087,-232011
985189,-232176
985291,-232547
985393,-232974
985495,-233103
985597,-233052
985699,-232987
985801,-232762
985903,-232009
986005,-231818
986107,-231829
986209,-231824
986311,-231783
986413,-232014
986515,-232203
986617,-232424
986719,-232785
986821,-232974
986923,-233147
987025,-232986
987127,-232533
987229,-232292
987331,-232089
987433,-232004
987535,-231913
987637,-231874
987739,-231891
987841,-231870
987943,-232075
988045,-232396
988147,-232765
988249,-233060
988351,-233151
988453,-233026
988555,-232679
988657,-232340
988759,-232023
988861,-231874
988963,-231853
989065,-231812
989167,-231729
989269,-231754
989371,-232149
989473,-232444
989575,-232721
989677,-233012
989779,-233091
989881,-232980
989983,-232777
990085,-232518
990187,-232285
990289,-232074
990391,-231833
990493,-231950
990595,-232013
990697,-232050
990799,-232413
990901,-232704
991003,-232945
991105,-232990
991207,-232975
991309,-232780
991411,-232403
991513,-232002
