488857,-369560
488959,-369499
489061,-369434
489163,-369477
489265,-369556
489367,-369575
489469,-369564
489571,-369493
489673,-369530
489775,-369485
489877,-369396
489979,-369491
490081,-369504
490183,-369479
490285,-369502
490387,-369497
490489,-369578
490591,-369535
490693,-369488
490795,-369485
490897,-369526
490999,-369459
491101,-369534
491203,-369483
491305,-369468
491407,-369451
491509,-369424
491611,-369463
491713,-369416
491815,-369525
491917,-369546
492019,-369489
492121,-369604
492223,-369623
492325,-369520
492427,-369529
492529,-369454
492631,-369523
492733,-369534
492835,-369611
492937,-369538
493039,-369475
493141,-369464
493243,-369535
493345,-369534
493447,-369525
493549,-369516
493651,-369559
493753,-369582
493855,-369625
493957,-369572
494059,-369439
494161,-369476
494263,-369423
494365,-369516
494467,-369503
494569,-369528
494671,-369517
494773,-369466
494875,-369473
494977,-369470
495079,-369485
495181,-369532
495283,-369579
495385,-369618
495487,-369607
495589,-369528
495691,-369533
495793,-369576
495895,-369693
495997,-369562
496099,-369403
496201,-369546
496303,-369559
496405,-369516
496507,-369503
496609,-369470
496711,-369523
496813,-369486
496915,-369533
497017,-369530
497119,-369547
497221,-369516
497323,-369487
497425,-369486
497527,-369497
497629,-369572
497731,-369475
497833,-369422
497935,-369541
498037,-369520
498139,-369469
498241,-369548
498343,-369607
498445,-369554
498547,-369443
498649,-369436
498751,-369453
498853,-369464
498955,-369479
499057,-369574
499159,-369537
499261,-369494
499363,-369417
499465,-369490
499567,-369589
499669,-369510
499771,-369477
499873,-369482
499975,-369555
500077,-369446
500179,-369431
500281,-369476
500383,-369521
500485,-369486
500587,-369479
500689,-369468
500791,-369535
500893,-369502
500995,-369509
501097,-369462
501199,-369347
501301,-369454
501403,-369529
501505,-369578
501607,-369543
501709,-369618
501811,-369555
501913,-369516
502015,-369625
502117,-369702
502219,-369611
502321,-369534
502423,-369517
502525,-369530
502627,-369557
502729,-369618
502831,-369563
502933,-369500
503035,-369467
503137,-369582
503239,-369613
503341,-369482
503443,-369343
503545,-369496
503647,-369503
503749,-369530
503851,-369549
503953,-369586
504055,-369609
504157,-369526
504259,-369467
504361,-369490
504463,-369453
504565,-369506
504667,-369541
504769,-369524
504871,-369441
504973,-369446
505075,-369547
505177,-369524
505279,-369457
505381,-369552
505483,-369693
505585,-369556
505687,-369457
505789,-369524
505891,-369563
505993,-369526
506095,-369453
506197,-369458
506299,-369591
506401,-369454
506503,-369511
506605,-369512
506707,-369471
506809,-369560
506911,-369565
507013,-369580
507115,-369583
507217,-369592
507319,-369467
507421,-369498
507523,-369595
507625,-369502
507727,-369545
507829,-369630
507931,-369673
508033,-369536
508135,-369541
508237,-369570
508339,-369529
508441,-369550
508543,-369603
508645,-369520
508747,-369423
508849,-369546
508951,-369579
509053,-369558
509155,-369481
509257,-369520
509359,-369463
509461,-369506
509563,-369567
509665,-369494
509767,-369567
509869,-369690
509971,-369541
510073,-369398
510175,-369349
510277,-369500
510379,-369571
510481,-369550
510583,-369455
510685,-369548
510787,-369595
510889,-369550
510991,-369563
511093,-369472
511195,-369605
511297,-369526
511399,-369481
511501,-369508
511603,-369549
511705,-369540
511807,-369543
511909,-369538
512011,-369449
512113,-369626
512215,-369613
512317,-369716
512419,-369657
512521,-369622
512623,-369567
512725,-369546
512827,-369519
512929,-369464
513031,-369521
513133,-369596
