684672,-384967,458987,-238651,-191845
684780,-385240,458992,-238378,-191856
684888,-385451,459013,-238071,-191737
684996,-385752,458976,-237868,-191698
685104,-386155,459095,-237689,-191691
685212,-386434,459142,-237540,-191630
685320,-386641,459153,-237415,-191719
685428,-386868,459182,-237396,-191784
685536,-386955,459397,-237707,-191803
685644,-386434,459530,-238048,-191822
685752,-385817,459251,-238039,-191745
685860,-385416,459034,-238232,-191796
685968,-385139,458917,-238543,-191783
686076,-385084,459012,-238752,-191706
686184,-385169,459041,-238773,-191683
686292,-385012,458952,-238496,-191658
686400,-385029,458969,-238369,-191765
686508,-385354,458940,-238068,-191716
686616,-385703,459041,-237725,-191665
686724,-386088,458986,-237518,-191624
686832,-386651,459015,-237345,-191683
686940,-386582,459028,-237304,-191782
687048,-386481,459049,-237239,-191741
687156,-386372,459106,-237662,-191790
687264,-386053,459097,-237841,-191853
687372,-385696,459106,-237920,-191794
687480,-385527,459071,-238175,-191637
687588,-385252,458978,-238418,-191652
687696,-385119,458955,-238607,-191513
687804,-385174,459034,-238544,-191522
687912,-385145,459007,-238463,-191741
688020,-385252,458994,-238202,-191696
688128,-385821,459093,-237987,-191693
688236,-386082,459130,-237956,-191738
688344,-386389,459203,-237815,-191701
688452,-386706,459186,-237578,-191648
688560,-386779,459221,-237467,-191741
688668,-386546,459196,-237524,-191810
688776,-386187,459075,-237699,-191779
688884,-386082,459062,-237898,-191746
688992,-385835,459109,-238095,-191725
689100,-385616,459066,-238176,-191646
689208,-385363,458919,-238227,-191633
689316,-385256,458902,-238378,-191692
689424,-385233,459001,-238411,-191775
689532,-385420,458978,-238312,-191776
689640,-385593,459029,-238091,-191779
689748,-385794,459016,-237826,-191790
689856,-386039,459031,-237653,-191685
689964,-386130,459072,-237604,-191766
690072,-386229,459143,-237423,-191777
690180,-386318,459202,-237438,-191682
690288,-386239,459197,-237509,-191715
690396,-386046,459106,-237552,-191668
690504,-385887,459053,-237707,-191691
690612,-385722,459200,-237868,-191696
690720,-385255,459215,-238051,-191635
690828,-385140,459126,-238090,-191782
690936,-385089,459193,-238117,-191771
691044,-385164,459286,-238174,-191856
691152,-385289,459217,-237963,-191807
691260,-385386,459220,-237820,-191694
691368,-385627,459113,-237593,-191581
691476,-385830,459316,-237356,-191688
691584,-385957,459205,-237237,-191783
691692,-385876,459078,-237218,-191720
691800,-385891,459061,-237203,-191737
691908,-385852,459162,-237248,-191754
692016,-385537,459107,-237405,-191695
692124,-385386,458964,-237722,-191706
692232,-385249,459015,-238065,-191669
692340,-385072,459064,-238386,-191646
692448,-384727,459045,-238699,-191711
692556,-384406,458912,-239054,-191640
692664,-384161,458901,-239197,-191655
692772,-384074,458910,-239284,-191710
692880,-384155,459055,-239133,-191725
692988,-384290,459042,-239016,-191722
693096,-384331,459111,-238807,-191687
693204,-384534,459152,-238676,-191698
693312,-385241,459289,-238311,-191613
693420,-385660,459350,-238054,-191772
693528,-386059,459417,-237787,-191775
693636,-386448,459468,-237520,-191764
693744,-386713,459551,-237401,-191751
693852,-386868,459602,-237578,-191856
693960,-387079,459597,-237891,-191831
694068,-387226,459610,-238334,-191736
694176,-387159,459855,-238909,-191695
694284,-386988,459782,-239520,-191696
694392,-386767,459911,-240047,-191645
694500,-386418,460302,-240654,-191700
694608,-385817,460661,-241213,-191715
694716,-385558,460840,-241680,-191636
694824,-385565,461133,-242115,-191691
694932,-385564,461354,-242134,-191746
695040,-385579,461629,-241729,-191745
695148,-385880,461908,-240712,-191712
695256,-386755,462543,-238799,-191627
695364,-387976,463004,-237908,-191662
695472,-389347,463021,-237593,-191691
695580,-390902,463020,-238342,-191578
695688,-392175,462957,-239465,-191621
695796,-392336,462706,-239398,-191698
695904,-387319,462833,-238491,-191647
696012,-385194,464038,-238682,-191698
696120,-384009,465299,-241127,-191651
696228,-384816,465186,-244818,-191662
696336,-386895,464575,-248015,-191681
696444,-386614,465226,-248886,-191816
696552,-384093,466155,-241013,-191761
696660,-381762,464840,-236640,-191578
696768,-383527,463607,-235503,-191587
696876,-387660,463420,-234506,-191648
696984,-391039,461193,-234769,-191605
697092,-393172,462234,-235302,-191564
697200,-390919,464371,-235489,-191679
697308,-392036,469574,-238048,-192854
697416,-387461,470187,-241831,-192461
697524,-382248,465530,-240228,-191622
697632,-382159,463795,-243303,-191653
697740,-384012,462432,-246408,-191784
697848,-384099,463079,-247101,-191693
697956,-382952,463984,-239714,-191646
698064,-382473,463339,-236325,-191583
698172,-385648,464302,-236358,-191552
698280,-391383,466705,-236585,-191697
698388,-395338,463756,-236838,-191686
698496,-394299,463935,-235839,-191577
698604,-389924,464690,-234412,-191614
698712,-384583,463579,-234137,-191691
698820,-380626,462046,-234582,-191654
698928,-379853,462047,-238237,-191631
699036,-381902,461466,-243236,-191452
699144,-384253,461145,-246883,-191533
699252,-383396,462368,-243612,-191600
699360,-382325,463137,-239871,-191517
699468,-384104,463724,-238246,-191796
699576,-386831,464237,-235907,-191773
699684,-388900,461338,-234542,-191602
699792,-391755,461233,-234651,-191575
699900,-390230,462048,-234510,-191518
700008,-386075,462021,-233507,-191603
700116,-381836,462124,-232664,-191690
700224,-379187,464671,-234569,-191589
700332,-377962,466800,-239468,-191614
700440,-380609,466687,-245539,-191559
700548,-383170,466590,-248948,-191618
700656,-381567,467941,-243287,-191581
700764,-380966,466674,-238962,-191636
700872,-382343,464135,-236791,-191671
700980,-384534,462426,-235556,-191720
701088,-388169,460585,-234905,-191731
701196,-389172,460528,-234800,-191674
701304,-388793,460903,-234937,-191671
701412,-387294,461382,-235008,-191530
701520,-385807,462355,-235503,-191533
701628,-385954,465046,-237678,-191882
701736,-385281,465669,-240905,-192153
701844,-382472,463510,-241054,-191882
701952,-382519,463387,-243525,-191661
702060,-383296,463172,-242388,-191582
702168,-383967,463399,-239467,-191705
702276,-383182,462746,-235376,-191640
702384,-389821,462779,-234799,-191657
702492,-398196,471068,-237518,-191664
702600,-400157,466535,-241039,-191647
702708,-400160,468378,-241874,-191574
702816,-397609,470675,-239365,-191579
702924,-390568,465692,-236796,-191604
703032,-384635,461809,-234189,-191603
