159684,-394568,459584,-246934,-291162
159792,-395423,461773,-248213,-290131
159900,-396692,462574,-249226,-289666
160008,-396775,462931,-249191,-289779
160116,-396828,463064,-249080,-289982
160224,-397605,463711,-249691,-289705
160332,-398548,464778,-250694,-289102
160440,-398987,465579,-251373,-288417
160548,-398768,465268,-250646,-288374
160656,-397459,463811,-249235,-289137
160764,-395546,461982,-247596,-290454
160872,-394083,460411,-246579,-292337
160980,-393694,459660,-246222,-292338
161088,-394137,459693,-246519,-291687
161196,-394880,460794,-247194,-290836
161304,-395859,460907,-247719,-290427
161412,-395668,460658,-247780,-290458
161520,-395237,460221,-247275,-291079
161628,-394952,459964,-246702,-291724
161736,-395025,460033,-246583,-291801
161844,-395340,460478,-247550,-291462
161952,-395731,460857,-248071,-290953
162060,-395822,461046,-247996,-290758
162168,-395653,460995,-247729,-291113
162276,-395478,460878,-247968,-291234
162384,-395653,461057,-248573,-290825
162492,-396260,461812,-249234,-290060
162600,-397609,463365,-249909,-289461
162708,-397610,463620,-250426,-289360
162816,-397425,463307,-250375,-289621
162924,-396808,462630,-249900,-290026
163032,-396115,461959,-249339,-290565
163140,-395648,461532,-248812,-290936
163248,-395471,461291,-248103,-291179
163356,-395476,461104,-247774,-291322
163464,-395309,460839,-247339,-291629
163572,-395206,460566,-246914,-291938
163680,-395023,460187,-246557,-292309
163788,-394792,459998,-246396,-292422
163896,-395159,460051,-246499,-292205
164004,-395722,460616,-246956,-291898
164112,-396161,461171,-247331,-291463
164220,-396470,461732,-247788,-291180
164328,-396997,462711,-248321,-290775
164436,-398088,464544,-249118,-289880
164544,-399833,467415,-252845,-288707
164652,-401962,470672,-254302,-287358
164760,-402975,472291,-254535,-287979
164868,-402862,472894,-254622,-289168
164976,-402843,473515,-254741,-290173
165084,-403070,473324,-254768,-290228
165192,-402549,473603,-254063,-288913
165300,-396406,475768,-250128,-287958
165408,-389109,470545,-242521,-289209
165516,-387122,471058,-237020,-289252
165624,-388085,476415,-239257,-288319
165732,-388426,501632,-246690,-286982
165840,-379163,510331,-253399,-287973
165948,-380794,484498,-254570,-293338
166056,-391009,474969,-254463,-294115
166164,-397766,465218,-254378,-293980
166272,-400619,469257,-254447,-294003
166380,-402122,481982,-254478,-294016
166488,-403107,487173,-254495,-293979
166596,-403138,486654,-254572,-294068
166704,-400413,489121,-254539,-293985
166812,-388104,501998,-254590,-293968
166920,-389299,492243,-254609,-294091
167028,-391164,480486,-254626,-294090
167136,-397747,479889,-254625,-294025
167244,-401752,486732,-254550,-293964
167352,-402847,484605,-249531,-293991
167460,-403056,492860,-244900,-294020
167568,-403085,484951,-251417,-293943
167676,-403092,481404,-252558,-293954
167784,-403041,476903,-254517,-293985
167892,-403166,475548,-254574,-294082
168000,-403077,482545,-254429,-294157
168108,-402994,487312,-254508,-294092
168216,-399677,488171,-254589,-294003
168324,-393252,496366,-254578,-294000
168432,-395989,485231,-254603,-293905
168540,-391808,471136,-254570,-293924
