673299,-388906,459830,-241124,-293708
673407,-388747,459769,-241125,-293687
673515,-388700,459852,-241252,-293576
673623,-388695,459997,-241517,-293533
673731,-389024,460724,-242348,-293220
673839,-390311,462267,-244123,-291955
673947,-391014,462188,-244464,-290642
674055,-390019,461195,-243217,-292489
674163,-389400,460678,-242440,-293084
674271,-389007,460147,-241743,-293603
674379,-388716,459988,-241462,-293728
674487,-388721,459897,-241383,-293719
674595,-388648,459830,-241282,-293688
674703,-388721,459857,-241209,-293743
674811,-388704,459904,-241126,-293718
674919,-388729,459885,-241205,-293545
675027,-388688,460032,-241366,-293676
675135,-388683,460397,-241633,-293551
675243,-389576,462138,-243322,-292706
675351,-390951,462151,-244337,-291999
675459,-389690,460612,-242496,-293028
675567,-389195,460907,-242361,-292523
675675,-389130,460840,-242770,-292878
675783,-388605,460083,-241865,-293559
675891,-388552,459954,-241540,-293712
675999,-388605,459971,-241505,-293719
676107,-388696,460010,-241468,-293660
676215,-388699,459967,-241555,-293641
676323,-388632,460052,-241562,-293582
676431,-388625,460107,-241561,-293575
676539,-388850,460450,-241926,-293430
676647,-389459,461463,-242905,-291857
676755,-390168,461450,-243356,-292208
676863,-389571,460771,-242465,-292917
676971,-389214,460638,-242442,-292600
677079,-389095,460729,-242629,-292739
677187,-388810,460332,-242136,-293252
677295,-388717,460021,-241753,-293521
677403,-388670,459914,-241382,-293492
677511,-388657,459877,-241481,-293513
677619,-388754,459918,-241610,-293548
677727,-388877,459999,-241607,-293465
677835,-389004,460344,-241816,-293296
677943,-389213,460867,-242359,-293017
678051,-389590,460996,-242686,-292596
678159,-389473,460899,-242511,-292759
678267,-389230,460772,-242370,-292888
678375,-388841,460617,-242107,-293089
678483,-388596,460420,-241704,-293308
678591,-388525,460263,-241437,-293405
678699,-388410,460206,-241398,-293474
678807,-388455,460187,-241331,-293487
678915,-388640,460208,-241386,-293406
679023,-388655,460171,-241485,-293393
679131,-388532,461086,-241668,-293506
679239,-389045,463223,-243085,-292899
679347,-391104,466528,-246150,-288150
679455,-393597,470687,-249495,-285183
679563,-396872,474718,-252860,-283666
679671,-399717,476457,-253771,-284307
679779,-399672,477408,-253866,-285790
679887,-399103,477131,-253891,-287805
679995,-395846,476250,-253356,-289124
680103,-386807,470155,-228761,-291525
680211,-383096,464558,-226976,-293552
680319,-383695,462465,-234347,-293707
680427,-387562,460416,-243830,-293470
680535,-386041,473223,-248729,-290041
680643,-356566,487204,-245298,-293406
680751,-352929,472623,-251571,-293663
680859,-386950,463526,-253856,-293784
680967,-396779,471609,-253959,-293743
681075,-401698,466674,-253838,-293656
681183,-402669,478695,-253769,-293729
681291,-402840,485426,-253690,-293776
681399,-402589,482369,-253679,-293761
681507,-402690,483434,-253700,-293936
681615,-402885,485161,-254001,-293867
681723,-402950,485518,-254034,-293774
681831,-402987,483415,-253899,-293729
681939,-400686,485760,-253804,-293858
682047,-388767,501519,-253767,-293843
682155,-378042,503288,-253440,-293678
682263,-375777,519857,-251475,-293377
682371,-396166,534520,-249278,-291884
682479,-394339,514565,-241845,-291323
682587,-380732,499102,-241658,-293132
682695,-386977,509097,-245717,-293359
682803,-396374,527496,-253412,-293520
682911,-393497,515259,-253687,-293555
683019,-390130,496766,-253758,-293488
683127,-395955,491699,-253825,-293453
683235,-401448,498068,-253924,-293478
683343,-403035,522345,-253813,-293521
683451,-403152,502300,-247128,-293562
683559,-403085,488497,-239515,-293555
683667,-402278,494242,-246768,-293506
683775,-389527,508659,-249997,-293645
683883,-383744,511476,-254052,-293586
683991,-374317,502697,-254025,-293485
684099,-377396,493626,-253946,-293592
684207,-394603,477625,-253983,-293621
684315,-397408,497672,-254036,-293660
684423,-402015,497437,-254019,-293623
684531,-402916,502110,-253928,-293600
684639,-395657,501607,-253915,-293599
684747,-378876,521578,-254026,-293674
684855,-388933,505027,-254085,-293597
684963,-395192,515056,-253606,-292874
685071,-397331,519795,-243681,-289565
685179,-400436,513544,-241604,-291360
685287,-397823,520075,-252807,-290419
685395,-392426,517622,-253510,-290438
685503,-391593,511841,-253579,-293313
685611,-391664,518232,-253786,-293428
685719,-392985,523807,-253913,-293073
685827,-392112,526610,-253828,-286574
685935,-395925,519173,-253519,-289537
686043,-400192,515380,-249796,-289774
686151,-402251,519543,-246553,-293225
686259,-402700,527998,-248122,-293552
686367,-400247,523149,-252139,-293547
686475,-391076,500226,-248214,-293620
686583,-394757,493687,-245787,-293521
686691,-395458,499184,-253366,-293520
686799,-393817,504631,-254089,-293565
686907,-389576,506740,-254176,-293618
687015,-387829,499817,-254029,-293571
687123,-394524,500506,-253892,-293480
687231,-401137,510999,-249681,-293527
687339,-402958,525066,-240562,-293554
687447,-402897,519253,-231577,-293625
687555,-399246,475226,-239542,-293578
687663,-386629,495507,-253023,-293573
687771,-397744,486790,-254262,-293612
687879,-397917,486567,-254367,-293641
687987,-397870,484630,-254270,-293660
688095,-395141,480351,-254257,-293647
688203,-395780,478020,-254314,-293698
688311,-398015,496939,-254287,-293673
688419,-401936,512526,-254074,-293748
688527,-402989,516219,-249589,-293757
688635,-403070,490806,-243322,-293566
688743,-403019,480481,-252665,-293651
688851,-402150,494724,-254342,-293790
688959,-385109,513753,-254255,-293747
689067,-398056,518554,-254276,-293700
689175,-387755,528877,-252039,-293611
689283,-377480,522510,-235974,-293516
689391,-389385,527103,-244795,-293519
689499,-398256,520888,-253760,-289516
689607,-393987,526921,-253801,-282541
689715,-389078,525124,-253428,-286970
689823,-392367,527257,-252047,-287357
689931,-391530,518792,-250868,-293678
690039,-390079,511251,-253449,-293549
690147,-392784,516040,-253880,-293398
690255,-379677,527073,-253635,-293575
690363,-380504,502634,-253484,-293674
690471,-389189,498421,-253989,-293677
690579,-398498,495448,-254170,-293606
690687,-402257,497255,-254239,-293615
690795,-398626,503374,-254240,-293644
690903,-398273,513739,-254173,-293635
691011,-397042,512858,-254176,-293664
691119,-391673,500183,-254131,-293695
691227,-391976,495708,-254192,-293586
691335,-395051,494475,-254043,-293657
691443,-395642,492856,-253780,-293736
691551,-399043,496923,-251035,-293665
691659,-402562,508546,-246080,-293618
691767,-403019,512849,-247323,-293699
691875,-403172,491242,-252220,-293692
691983,-403107,470949,-251351,-293643
692091,-402998,486932,-250938,-293656
692199,-399641,502705,-252137,-293697
692307,-390068,497858,-253714,-293648
692415,-394489,489341,-254105,-293693
692523,-389652,487466,-254204,-293630
692631,-392471,481781,-254115,-293671
692739,-397120,493580,-254064,-293722
692847,-403051,505819,-252433,-293669
692955,-403012,520880,-244668,-293600
693063,-402937,527611,-232733,-293663
693171,-401438,489494,-236914,-293686
693279,-392603,500141,-249193,-293649
693387,-387132,502518,-253646,-293586
693495,-380433,505889,-254143,-293603
693603,-379510,487410,-254024,-293730
693711,-394809,477025,-253913,-293673
693819,-397094,514230,-254094,-293468
693927,-401505,508337,-251945,-293595
694035,-403090,518150,-245124,-293686
694143,-403041,489749,-241805,-293545
694251,-387110,481062,-250746,-293536
694359,-390543,490929,-254143,-293679
694467,-389694,488614,-254254,-293592
694575,-390633,490795,-254277,-293655
694683,-391754,475428,-254302,-293766
694791,-393831,475021,-254213,-293689
694899,-386580,492058,-254248,-293620
695007,-395707,515057,-254303,-293685
695115,-401608,522866,-254118,-293682
695223,-401309,515355,-243585,-293621
695331,-402298,508462,-244954,-293142
695439,-401227,513393,-252629,-285079
695547,-374686,530096,-253620,-286544
695655,-379109,513617,-253905,-293361
695763,-385268,488870,-254138,-293618
695871,-393581,493375,-254219,-293657
695979,-401426,508906,-254248,-293654
696087,-402755,503301,-254129,-293677
696195,-402694,495528,-254100,-293676
696303,-399541,500057,-254071,-293803
696411,-393074,506668,-254136,-293806
696519,-392493,512537,-254129,-293691
696627,-383202,508756,-254096,-293586
696735,-380309,491619,-254045,-293629
696843,-398114,515610,-253114,-293692
696951,-402759,509115,-242147,-293681
697059,-402960,500218,-241108,-293616
697167,-398567,493665,-243097,-293595
697275,-387196,492658,-252250,-293636
697383,-387665,492633,-254097,-293643
697491,-383348,503618,-254060,-293542
697599,-387615,491177,-251225,-293471
697707,-391160,497588,-239574,-293560
697815,-393719,521899,-248853,-293633
697923,-400476,530236,-251250,-287068
698031,-402577,531771,-250187,-287317
698139,-392868,509032,-253498,-293102
698247,-388059,506109,-253351,-293215
698355,-387822,512630,-253634,-293420
698463,-392823,524021,-253859,-291437
698571,-388134,537734,-253698,-284576
698679,-378561,535745,-253741,-291005
698787,-384806,507998,-253950,-293610
698895,-394319,504319,-254005,-293621
699003,-401542,512824,-254068,-293616
699111,-402585,512001,-254027,-293581
699219,-402766,496236,-252820,-293594
699327,-402935,495063,-253553,-293593
699435,-398134,502578,-254016,-293626
699543,-387817,506643,-254003,-293595
699651,-387880,501102,-254164,-293540
699759,-393727,486869,-254117,-293605
699867,-399210,477220,-254104,-293660
699975,-402259,482605,-254129,-293783
700083,-403090,483306,-254148,-293700
700191,-402715,491727,-254215,-293653
700299,-393744,514786,-254174,-293702
700407,-389065,519793,-254141,-293729
700515,-392250,518422,-254036,-293762
700623,-390995,509673,-253827,-293471
700731,-377908,492188,-239122,-293324
700839,-375463,491615,-252275,-293481
700947,-386582,507382,-253800,-293622
701055,-400435,522477,-252613,-293563
701163,-402902,536332,-242768,-293592
701271,-402891,527067,-228611,-293489
701379,-402980,490570,-243042,-293418
701487,-402817,482863,-250275,-293523
701595,-398382,491818,-252740,-293688
701703,-390705,502687,-254177,-293627
701811,-394210,504106,-254204,-293598
701919,-390027,485915,-254321,-293633
702027,-392754,469452,-254240,-293620
702135,-397183,471913,-254243,-293673
702243,-398094,486786,-254248,-293776
702351,-389707,514115,-254183,-293787
702459,-382306,534552,-254020,-293788
702567,-386971,535457,-253935,-293677
702675,-384198,520628,-253634,-288440
702783,-387469,515501,-253211,-282743
702891,-396398,506134,-253000,-284168
702999,-395667,512313,-253645,-284233
703107,-389702,516822,-253754,-291640
703215,-384469,518627,-253157,-293677
703323,-382238,515576,-251606,-293700
703431,-400591,506075,-253199,-293575
703539,-403076,495642,-252322,-293702
703647,-403071,500407,-250163,-293747
703755,-402976,504938,-253136,-293682
703863,-402919,505667,-252437,-293611
703971,-395242,506670,-250090,-293740
704079,-387203,514475,-252665,-293789
704187,-390084,510018,-254238,-293718
704295,-395433,501105,-254149,-293613
704403,-401336,503236,-251850,-293534
704511,-402697,513253,-241955,-293621
704619,-402818,496614,-246628,-293742
704727,-402751,490671,-242529,-293721
704835,-391506,494982,-253630,-293676
704943,-390335,493881,-254283,-293779
705051,-391376,498226,-254236,-293844
705159,-388683,499375,-254251,-293747
705267,-393854,484108,-254268,-293656
705375,-400503,471947,-254217,-293681
705483,-401804,485724,-254200,-293730
705591,-403069,489841,-254131,-293723
705699,-403048,495546,-253990,-293756
705807,-403131,489539,-249127,-293779
705915,-403160,499236,-243788,-293778
706023,-402887,510095,-246583,-293743
706131,-391126,487790,-251622,-293656
706239,-398325,485041,-254069,-293649
706347,-395682,504762,-254102,-293624
706455,-388803,496347,-254003,-293721
706563,-394192,486998,-254040,-293652
706671,-397539,489767,-254089,-293689
706779,-401092,503690,-254064,-293744
706887,-395329,512589,-254139,-293717
706995,-384956,503402,-254158,-293674
707103,-389403,503893,-254225,-293751
707211,-396046,500034,-254266,-293598
707319,-397605,492675,-254065,-293581
707427,-400914,510032,-254004,-293718
707535,-402801,519351,-249831,-293701
707643,-403082,507974,-243234,-293574
707751,-403125,512955,-248603,-293461
707859,-403092,507862,-242576,-293606
707967,-402975,489023,-244709,-293697
708075,-402818,497240,-249020,-293726
708183,-401823,491217,-253487,-293685
708291,-393272,491832,-253942,-293612
708399,-397011,491931,-254039,-293717
708507,-401738,497606,-254018,-293674
708615,-395433,503539,-253979,-293691
708723,-384274,523524,-253942,-293692
708831,-395957,524181,-253661,-293779
708939,-402352,510794,-235406,-293718
709047,-402733,517237,-242509,-293553
709155,-391132,527406,-242778,-292150
709263,-371063,511783,-232463,-288247
709371,-383758,507300,-234422,-291948
709479,-394809,511171,-248247,-293445
709587,-396136,502640,-253642,-293572
709695,-393645,506379,-253931,-293603
709803,-394208,516474,-253938,-293640
709911,-392919,503303,-253909,-293639
710019,-400932,488280,-253958,-293714
710127,-402949,496065,-253979,-293695
710235,-403052,495660,-254026,-293682
710343,-402961,491607,-250547,-293733
710451,-398300,494260,-248264,-293620
710559,-376743,504081,-253189,-293623
710667,-389068,495386,-244588,-293606
710775,-392879,496435,-232221,-293505
710883,-397214,496040,-250816,-293554
710991,-402839,517491,-253893,-293489
711099,-403024,490262,-253840,-293514
711207,-402981,496111,-253905,-293627
711315,-400764,505966,-253902,-293634
711423,-384443,514225,-253927,-293735
711531,-381968,515592,-253936,-293784
711639,-382181,496703,-253909,-293751
711747,-393104,481398,-253830,-293744
711855,-395749,506029,-253837,-293633
711963,-401742,508248,-253710,-293648
712071,-402993,501293,-253527,-293687
712179,-403034,484800,-253598,-293648
712287,-402211,496961,-253961,-293581
712395,-391532,489256,-253936,-293602
712503,-390249,480203,-253923,-293765
712611,-393208,485980,-253960,-293626
712719,-387593,492459,-254025,-293653
712827,-389680,497940,-253926,-293660
712935,-399125,517965,-253749,-293681
713043,-402812,523816,-249990,-293604
713151,-403013,509673,-227763,-293607
713259,-403086,477858,-246388,-293698
713367,-402967,488541,-250397,-293757
713475,-402956,498502,-252066,-293784
713583,-402029,475987,-253993,-293887
713691,-391158,486174,-254004,-293812
713799,-394989,486403,-253939,-293691
713907,-402818,495774,-253304,-293698
714015,-403077,506365,-243321,-293713
714123,-403060,504024,-238660,-293708
714231,-401487,508559,-249167,-293743
714339,-383352,513470,-253424,-293626
714447,-380911,517481,-250733,-293389
714555,-388968,515610,-228446,-293312
714663,-386999,498213,-225681,-293477
714771,-394150,511864,-247072,-293536
714879,-389535,501825,-253513,-293577
714987,-393352,506264,-253894,-293696
715095,-399951,515013,-253819,-293585
715202,-398788,528588,-249570,-293542
715310,-392563,523785,-243235,-293643
715418,-401250,523194,-252044,-293714
715526,-402671,526467,-253069,-293561
715634,-401262,528202,-248272,-293458
715742,-389613,501835,-238523,-293579
715850,-395576,516288,-250104,-293680
715958,-401881,517115,-253825,-293685
716066,-395224,502520,-254016,-293636
716174,-393785,503895,-254021,-293675
716282,-382798,504602,-253960,-293670
716390,-381401,493825,-253845,-293771
716498,-389038,504348,-253904,-293630
716606,-396731,508615,-253963,-293691
716714,-387650,513068,-253966,-293716
716822,-382271,506577,-253763,-293669
716930,-381976,508708,-252568,-293580
717038,-382313,510269,-242651,-293541
717146,-389026,517362,-246848,-293464
717254,-398795,510521,-247213,-293457
717362,-402748,511918,-244910,-293538
717470,-402949,512019,-251111,-293705
717578,-402910,501478,-250678,-293632
717686,-399283,499765,-250457,-293533
717794,-388920,498736,-253362,-293648
717902,-396969,495757,-253931,-293765
718010,-400590,498660,-253920,-293736
718118,-402739,501873,-253867,-293677
718226,-402760,514120,-251198,-293598
718334,-402913,526979,-237303,-293611
718442,-403068,521074,-240968,-293550
718550,-402789,506227,-250517,-293471
718658,-398090,499782,-240964,-293634
718766,-396331,498329,-250417,-293707
718874,-398230,497716,-253976,-293646
718982,-388509,498869,-254067,-293605
719090,-391954,501258,-254034,-293534
719198,-391039,505763,-253941,-293721
719306,-392094,501206,-253846,-293794
719414,-400317,511093,-253883,-293745
719522,-402924,523028,-253842,-293660
719630,-403045,521599,-252731,-293591
719738,-402936,502696,-237968,-293712
719846,-398295,490803,-235351,-293685
719954,-389740,503034,-253012,-293678
720062,-385021,507445,-254067,-293685
720170,-390930,492884,-253972,-293684
720278,-390749,484747,-253607,-293681
720386,-396040,487062,-251522,-293658
720494,-400689,496219,-249751,-293697
